"Metacritic";"VariantCount";"Steam1";"Steam2";"Steam3";"Steam4";"Steam5";"Steam6";"Steam7";"Steam8";"Steam9";"Steam10"
"Wipeout XL";"0";;;;;;;;;;
"Wipe Out VR";"0";;;;;;;;;;
"Winx Club";"0";;;;;;;;;;
"Winter Voices Prologue: Avalanche";"0";;;;;;;;;;
"Winter Voices Episode 6: Falls";"0";;;;;;;;;;
"Winter Voices Episode 5: Overflow";"0";;;;;;;;;;
"Winter Voices Episode 4: Amethyst Rivers";"0";;;;;;;;;;
"Winter Voices Episode 3: Like a Crow on a Wire";"0";;;;;;;;;;
"Winter Voices Episode 2: Nowhere of Me";"0";;;;;;;;;;
"Winter Voices Episode 1: Those Who Have No Name";"0";;;;;;;;;;
"Winter Sports 2012: Feel the Spirit";"0";;;;;;;;;;
"Winter Maw";"0";;;;;;;;;;
"Winning Putt";"0";;;;;;;;;;
"Wings Over Vietnam";"1";"Wings Over Europe";;;;;;;;;
"Wings Over Europe: Cold War Gone Hot";"0";;;;;;;;;;
"Wings of War";"3";"Days of War";"Fog of War";"Kings of Con";;;;;;;
"Wings of Power: WWII Heavy Bombers and Jets";"0";;;;;;;;;;
"Wings of Power II - WWII Fighters";"0";;;;;;;;;;
"Wings of Luftwaffe";"0";;;;;;;;;;
"Wings of Honor";"1";"Kings of Con";;;;;;;;;
"Winged Warrior III";"0";;;;;;;;;;
"Winged Warrior II";"0";;;;;;;;;;
"Winged Sakura: Demon Civil War";"0";;;;;;;;;;
"Winged Knights: Penetration";"0";;;;;;;;;;
"Wing Commander: The Kilrathi Saga";"0";;;;;;;;;;
"Wing Commander: Prophecy";"0";;;;;;;;;;
"Winemaker Extraordinaire";"0";;;;;;;;;;
"Wine Tycoon";"1";"Fish Tycoon";;;;;;;;;
"WindSlayer 2";"0";;;;;;;;;;
"Winds Of Trade";"0";;;;;;;;;;
"Windchaser";"0";;;;;;;;;;
"Windborne";"0";;;;;;;;;;
"Wind Slayer";"1";"Windscape";;;;;;;;;
"Wind of Luck: Arena";"0";;;;;;;;;;
"Wincars Racer";"0";;;;;;;;;;
"Wills and Wonders";"0";;;;;;;;;;
"Willie's Haunted Hayride";"0";;;;;;;;;;
"Williams Pinball Classics";"0";;;;;;;;;;
"William's Adventures: The Forgotten Forest";"0";;;;;;;;;;
"Will Rock";"0";;;;;;;;;;
"Will of Steel";"0";;;;;;;;;;
"Will Fight for Food";"0";;;;;;;;;;
"Wildlife Zoo: Deluxe Edition";"2";"SimCity™ 4 Deluxe Edition";"RADical ROACH Deluxe Edition";;;;;;;;
"Wildlife Zoo";"0";;;;;;;;;;
"Wildlife VR";"0";;;;;;;;;;
"Wildlife Tycoon: Venture Africa";"0";;;;;;;;;;
"Wildlife Park Tycoon";"0";;;;;;;;;;
"Wildlife Park Tycoon";"0";;;;;;;;;;
"Wildhollow";"0";;;;;;;;;;
"Wildfire (2004)";"0";;;;;;;;;;
